product_type,powertrain,fu_method,n,mean_co2_fu,sd,p05,p50,p95,mean_payload_kg
dry,bev,phase2_load_model,20,0.032456,0.009601,0.018103,0.032067,0.048176,16442
dry,bev,exo_draw,11554,0.053145,0.018972,0.028381,0.049971,0.088758,10884
dry,bev,audit_uniform,11554,0.028354,0.007522,0.017237,0.027569,0.041877,19048
dry,diesel,phase2_load_model,20,0.07429,0.004749,0.069105,0.073696,0.083144,16442
dry,diesel,legacy_stored,3452,0.028288,0.010145,0.016567,0.025883,0.048661,10885
dry,diesel,exo_draw,14398,0.041427,0.037514,0.016805,0.027785,0.127231,10882
dry,diesel,audit_uniform,17850,0.020201,0.015677,0.01248,0.014829,0.064085,19051
refrigerated,bev,phase2_load_model,20,0.28833,0.106611,0.140584,0.284909,0.437945,3370
refrigerated,bev,exo_draw,200,0.088858,0.029891,0.049652,0.080674,0.14028,10664
refrigerated,bev,audit_uniform,200,0.046276,0.012068,0.029974,0.045277,0.070683,19067
refrigerated,diesel,phase2_load_model,20,0.668364,0.225734,0.325368,0.663923,1.075532,3370
refrigerated,diesel,legacy_stored,43268,0.048057,0.017583,0.027424,0.044211,0.082854,10883
refrigerated,diesel,audit_uniform,43268,0.014662,0.001498,0.012359,0.014568,0.017274,19050
