run_family,run_id,scenario,product_type,powertrain,origin_mode,origin_network,facility_id,facility_id_dry,facility_id_refrigerated,traffic_mode,paired_origin_networks,paired_traffic_modes,trip_leg,n,seed,artifact_mode,purpose,include_in_presentation,notes,load_assignment_policy,units_per_case_policy,case_geometry_policy
validation_small,validation_small_dry_diesel,VALIDATION_SMALL,dry,diesel,paired,,FACILITY_DRY_TOPEKA,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,freeflow,true,false,outbound,4,1101,summary_only,quick regression sanity checks,true,small paired-origin smoke check,partial_load,fixed_2,fixed_carton_dims_24x16x6
validation_small,validation_small_refrigerated_diesel,VALIDATION_SMALL,refrigerated,diesel,paired,,FACILITY_REFRIG_ENNIS,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,freeflow,true,false,outbound,4,1102,summary_only,quick regression sanity checks,true,small paired-origin smoke check,partial_load,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern
analysis_core_dry,analysis_core_dry_diesel,ANALYSIS_CORE,dry,diesel,paired,,FACILITY_DRY_TOPEKA,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,stochastic,true,true,outbound,20,1201,summary_only,core presentation dry comparison,true,dry canonical core run for paired plots and LCI bridge,partial_load,fixed_2,fixed_carton_dims_24x16x6
analysis_core_dry,analysis_core_dry_bev,ANALYSIS_CORE,dry,bev,paired,,FACILITY_DRY_TOPEKA,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,stochastic,true,true,outbound,20,1202,summary_only,core presentation dry comparison,true,dry BEV paired comparison for core plots,partial_load,fixed_2,fixed_carton_dims_24x16x6
analysis_core_refrigerated,analysis_core_refrigerated_diesel,ANALYSIS_CORE,refrigerated,diesel,paired,,FACILITY_REFRIG_ENNIS,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,stochastic,true,true,outbound,20,1301,summary_only,core presentation refrigerated comparison,true,refrigerated canonical core run for paired plots and LCI bridge,partial_load,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern
analysis_core_refrigerated,analysis_core_refrigerated_bev,ANALYSIS_CORE,refrigerated,bev,paired,,FACILITY_REFRIG_ENNIS,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,stochastic,true,true,outbound,20,1302,summary_only,core presentation refrigerated comparison,true,refrigerated BEV paired comparison for core plots,partial_load,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern
bev_diagnostic,bev_diagnostic_dry,BEV_DIAGNOSTIC,dry,bev,paired,,FACILITY_DRY_TOPEKA,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,stochastic,true,true,outbound,40,1401,summary_only,diagnose BEV clustering,true,larger n for BEV regime analysis,partial_load,fixed_2,fixed_carton_dims_24x16x6
bev_diagnostic,bev_diagnostic_refrigerated,BEV_DIAGNOSTIC,refrigerated,bev,paired,,FACILITY_REFRIG_ENNIS,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,stochastic,true,true,outbound,40,1402,summary_only,diagnose BEV clustering,true,larger n for refrigerated BEV regime analysis,partial_load,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern
demo_full_artifact,demo_full_artifact_diesel,DEMO_FULL,dry,diesel,single,dry_factory_set,FACILITY_DRY_TOPEKA,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,stochastic,false,false,outbound,1,1501,full,animation and narrative demo,true,full-artifact diesel run for map animation,partial_load,fixed_2,fixed_carton_dims_24x16x6
demo_full_artifact,demo_full_artifact_bev,DEMO_FULL,refrigerated,bev,single,refrigerated_factory_set,FACILITY_REFRIG_ENNIS,FACILITY_DRY_TOPEKA,FACILITY_REFRIG_ENNIS,stochastic,false,false,outbound,1,1502,full,animation and narrative demo,true,full-artifact bev run for map animation,partial_load,discrete_4_5_6_centered_5,derived_from_unit_dims_and_pack_pattern
